1	217.80179726	29905.12519566	3267.47573453	24457.00576272
2	1109.44801807	27813.79254748	966.34964662	26789.58652292
3	1246.99407401	30498.47382612	4236.25629653	23538.10622634
4	735.70383236	31016.46078763	4160.12774782	23605.93271064
5	415.33791947	28864.66008790	3215.89214843	24756.89042348
6	280.05032486	28590.45013820	2774.52148161	25171.73075796
7	220.50018174	28612.05324660	2437.35446951	25446.59555532
8	781.17283867	29288.32750505	3313.78541536	24586.93452812
9	1206.78435956	29680.80242975	3894.30626302	24029.98013680
10	669.31575223	27332.88016217	2211.37666692	25940.21196854
11	1520.94861621	27001.03925780	2383.76088582	25941.58057287
12	848.05414551	26221.93104159	495.18342252	27534.61255606
13	343.65417918	27886.78747364	2107.46458843	25864.57844432
14	185.88820864	26716.96649431	1232.24134781	26840.86742403
15	1864.56305285	25309.83186105	692.65546482	28692.29062482
16	433.91326548	25963.21465047	2457.52147540	26310.28240396
17	813.35796297	25506.09002127	983.99560186	27474.84922870
18	492.10021258	24737.22381775	2153.22292381	27653.21967435
19	648.93674469	25790.28246186	1639.11818216	27011.91381181
20	310.19993503	24260.19494743	1856.95189734	28364.72613460
21	485.63822415	25057.57500353	2840.92114933	26683.23812931
22	1094.25705820	17691.55359495	8545.58397370	32360.02173230
23	596.73271499	18682.46405578	7992.71219738	30693.49025728
24	907.47724137	23388.60715287	3482.00526441	28049.04574896
25	402.25159847	22100.14687080	4745.53859639	28598.64995156
26	704.11961171	21528.34685819	5263.81936199	28938.53164854
27	528.20353486	20952.10620295	5712.79284370	29417.07503809
28	459.43401279	19882.98707847	6723.12255868	30096.44348049
29	696.60057332	17350.86065452	9207.52904450	31736.98722726
30	389.77676063	20357.93664608	6234.20582926	29855.17184239
31	2061.49709746	16643.31171383	10416.10080686	31536.89331664
32	1264.89116522	19102.82257975	8077.75308998	29790.02140656
33	146.58210463	23004.97007890	3291.52240370	29160.10991806
34	620.64538973	23733.12239995	1299.65823668	29229.22005422
35	1358.53935935	22759.65691793	2205.34294127	30172.82884299
36	1781.56718151	20781.61683659	4279.22397733	31876.12847160
37	1039.02788828	22043.63233409	3826.13523787	30290.82583249
38	3222.40457706	23966.33693574	2374.47949253	30344.43856767
39	2720.83123749	21970.96498540	3023.66974495	31307.48392304
40	38.46904396	21216.10046243	4913.62646455	30934.09126506
41	219.58429351	20245.77522749	6125.66923773	30371.98041377
42	1306.31252911	19489.31227606	6687.01067659	31645.36932084
43	260.59825006	18806.79037569	6386.36110185	33590.18290584
44	989.61361175	18803.31346278	6924.86497338	33289.17270668
45	644.18073541	17170.41643602	8028.12420631	35124.44518906
46	2684.32857055	17728.77853289	8544.76512072	34104.51247045
47	2776.22047412	14218.84177618	11143.32649039	37814.37955772
48	1746.63701260	12111.08632744	10897.30811039	40851.65832835
49	2790.23733541	15229.08915068	10331.38199870	36737.95087716
50	1748.28466158	14417.64393608	10701.70032530	37819.36903839
51	1495.47111813	18268.91857028	6647.61490176	34525.08856839
52	3463.22721900	18335.61572176	6832.64510517	35117.99075035
53	1640.45830195	16264.35986224	8843.68636327	37191.90085417
54	4026.21228019	14211.00401884	12533.35438633	33669.56962733
55	4284.55619523	15646.83604954	10741.24357997	36053.60395755
56	6212.56526191	10001.39217126	17729.78395132	36555.75084294
57	2541.92851062	15863.50865107	10325.81814518	33849.41102399
58	7912.97857966	11607.41450101	14976.92950504	39325.06439432
59	5809.93590631	12322.22195465	13859.87098052	36420.89640371
60	1706.43105157	14367.67545582	15210.57562127	32030.81074390
61	2471.31439730	14685.61424136	13416.42594797	32282.32648018
62	3120.46131917	13072.92739652	16065.90451726	33422.91652828
63	5571.20833287	11241.75153558	15881.69883823	35702.83907852
64	4294.35945653	14698.65623520	11497.93042897	35627.44586544
65	6568.65835540	12179.90532159	14046.40326250	37641.41692998
66	4301.20621776	8966.55668219	19687.71668931	36768.81575391
67	2150.89898071	11980.66669851	16744.39886168	33779.09894249
68	4442.40635646	10848.74757275	18415.83140255	35513.01900113
69	5099.94511853	4234.17785976	23486.44907981	40623.33961910
70	10894.69756468	4093.55166613	31691.16940842	48784.34511248
71	12467.12368551	5873.28352607	33481.48587736	50569.28959515
72	8773.73370711	6899.32471902	20133.41154782	39640.97885642
73	9461.76886894	330.35836557	27910.66579629	45056.70934048
74	10293.10268058	4756.40958155	31988.78103281	48978.11842107
75	6987.15922832	418.15320524	27059.15263905	44150.10753407
76	6107.50412136	6334.61671952	22318.47043834	39422.47327524
77	9618.59995113	916.85501191	28880.02693910	46019.89123890
78	15690.28069497	8505.05905544	36451.03374572	53572.15154818
79	18225.10775784	10332.24679218	38443.89906583	55810.54594415
80	8438.31265604	1972.18347772	29366.98001396	46427.08363189
81	10866.36353355	1925.59543912	26001.65373541	44398.83003914
82	10815.92374483	2570.24085825	30541.19036555	47678.31142840
83	15633.92928901	9671.07499386	37165.26707720	54214.16169667
84	13870.67023418	5211.22337803	33550.24918312	50695.75685758
85	20505.16027380	13187.32276752	41279.71917959	58509.96359960
86	7895.00711915	3297.98446601	25213.43508196	42344.81067741
87	13449.11903273	7493.80127616	34930.27990929	51974.56402010
88	31392.37450163	26609.89488313	53730.00143366	70559.14572091
89	40814.84070576	36111.56071840	63165.95571726	79988.91116724
90	26253.69272341	19943.44579755	47813.11433254	64891.90918392
91	49776.36751339	45046.27530300	70842.67142620	88949.48041193
92	22491.38552599	17727.04252290	44815.40667464	61648.35019166
93	37503.42369366	32756.33788219	59866.46426610	76676.83975982
94	17993.45657541	12096.85338980	39617.26201440	56662.07684666
